date,year,month,region,nhpi,status,nhpi_growth_pct
1998-08-01,1998,8,Alberta,43.9,,0.22831050228311334
1998-09-01,1998,9,Alberta,44.0,,0.2277904328018332
1998-10-01,1998,10,Alberta,44.0,,0.0
1998-11-01,1998,11,Alberta,44.1,,0.2272727272727204
1998-12-01,1998,12,Alberta,44.4,,0.6802721088435382
1999-01-01,1999,1,Alberta,44.6,,0.45045045045044585
1999-02-01,1999,2,Alberta,44.7,,0.22421524663678305
1999-03-01,1999,3,Alberta,44.9,,0.4474272930648615
1999-04-01,1999,4,Alberta,45.0,,0.22271714922048602
1999-05-01,1999,5,Alberta,45.0,,0.0
1999-06-01,1999,6,Alberta,45.1,,0.22222222222223476
1999-07-01,1999,7,Alberta,45.3,,0.44345898004434225
1999-08-01,1999,8,Alberta,45.4,,0.22075055187638082
1999-09-01,1999,9,Alberta,45.7,,0.6607929515418665
1999-10-01,1999,10,Alberta,45.7,,0.0
1999-11-01,1999,11,Alberta,45.8,,0.2188183807439792
1999-12-01,1999,12,Alberta,45.9,,0.21834061135370675
2000-01-01,2000,1,Alberta,46.0,,0.21786492374729072
2000-02-01,2000,2,Alberta,46.0,,0.0
2000-03-01,2000,3,Alberta,46.1,,0.21739130434783593
2000-04-01,2000,4,Alberta,46.1,,0.0
2000-05-01,2000,5,Alberta,46.3,,0.433839479392617
2000-06-01,2000,6,Alberta,46.2,,-0.21598272138227959
2000-07-01,2000,7,Alberta,46.3,,0.21645021645020357
2000-08-01,2000,8,Alberta,46.4,,0.2159827213823018
2000-09-01,2000,9,Alberta,46.4,,0.0
2000-10-01,2000,10,Alberta,46.5,,0.21551724137931494
2000-11-01,2000,11,Alberta,46.6,,0.21505376344086446
2000-12-01,2000,12,Alberta,46.6,,0.0
2001-01-01,2001,1,Alberta,46.7,,0.21459227467810482
2001-02-01,2001,2,Alberta,46.7,,0.0
2001-03-01,2001,3,Alberta,46.8,,0.21413276231261325
2001-04-01,2001,4,Alberta,46.9,,0.21367521367521292
2001-05-01,2001,5,Alberta,46.9,,0.0
2001-06-01,2001,6,Alberta,47.3,,0.8528784648187626
2001-07-01,2001,7,Alberta,47.5,,0.42283298097252064
2001-08-01,2001,8,Alberta,47.6,,0.21052631578948322
2001-09-01,2001,9,Alberta,47.7,,0.21008403361344463
2001-10-01,2001,10,Alberta,47.8,,0.20964360587001352
2001-11-01,2001,11,Alberta,48.1,,0.6276150627615218
2001-12-01,2001,12,Alberta,48.1,,0.0
2002-01-01,2002,1,Alberta,48.3,,0.4158004158004047
2002-02-01,2002,2,Alberta,48.8,,1.0351966873705987
2002-03-01,2002,3,Alberta,49.2,,0.819672131147553
2002-04-01,2002,4,Alberta,49.4,,0.40650406504063596
2002-05-01,2002,5,Alberta,49.9,,1.0121457489878471
2002-06-01,2002,6,Alberta,50.2,,0.6012024048096309
2002-07-01,2002,7,Alberta,50.4,,0.3984063745019917
2002-08-01,2002,8,Alberta,50.6,,0.3968253968253954
2002-09-01,2002,9,Alberta,50.7,,0.19762845849802257
2002-10-01,2002,10,Alberta,50.9,,0.39447731755424265
2002-11-01,2002,11,Alberta,51.2,,0.5893909626719207
2002-12-01,2002,12,Alberta,51.5,,0.5859375
2003-01-01,2003,1,Alberta,51.7,,0.3883495145631022
2003-02-01,2003,2,Alberta,51.9,,0.3868471953578201
2003-03-01,2003,3,Alberta,52.2,,0.5780346820809301
2003-04-01,2003,4,Alberta,52.2,,0.0
2003-05-01,2003,5,Alberta,52.4,,0.3831417624520883
2003-06-01,2003,6,Alberta,52.6,,0.3816793893129722
2003-07-01,2003,7,Alberta,52.7,,0.19011406844107182
2003-08-01,2003,8,Alberta,52.7,,0.0
2003-09-01,2003,9,Alberta,53.2,,0.9487666034155628
2003-10-01,2003,10,Alberta,53.7,,0.9398496240601517
2003-11-01,2003,11,Alberta,53.9,,0.3724394785847185
2003-12-01,2003,12,Alberta,54.4,,0.927643784786647
2004-01-01,2004,1,Alberta,54.4,,0.0
2004-02-01,2004,2,Alberta,54.5,,0.18382352941177516
2004-03-01,2004,3,Alberta,54.7,,0.3669724770642313
2004-04-01,2004,4,Alberta,55.0,,0.5484460694698212
2004-05-01,2004,5,Alberta,55.2,,0.363636363636366
2004-06-01,2004,6,Alberta,55.5,,0.5434782608695565
2004-07-01,2004,7,Alberta,55.7,,0.3603603603603567
2004-08-01,2004,8,Alberta,55.8,,0.17953321364452268
2004-09-01,2004,9,Alberta,56.1,,0.5376344086021501
2004-10-01,2004,10,Alberta,56.3,,0.35650623885916666
2004-11-01,2004,11,Alberta,56.4,,0.1776198934280604
2004-12-01,2004,12,Alberta,56.5,,0.17730496453900457
2005-01-01,2005,1,Alberta,56.6,,0.1769911504424737
2005-02-01,2005,2,Alberta,56.9,,0.5300353356890497
2005-03-01,2005,3,Alberta,57.1,,0.35149384885764245
2005-04-01,2005,4,Alberta,57.4,,0.5253940455341555
2005-05-01,2005,5,Alberta,57.7,,0.5226480836237002
2005-06-01,2005,6,Alberta,58.5,,1.3864818024263315
2005-07-01,2005,7,Alberta,58.6,,0.17094017094017033
2005-08-01,2005,8,Alberta,58.9,,0.5119453924914641
2005-09-01,2005,9,Alberta,59.9,,1.6977928692699429
2005-10-01,2005,10,Alberta,61.5,,2.6711185308848195
2005-11-01,2005,11,Alberta,63.0,,2.4390243902439046
2005-12-01,2005,12,Alberta,65.3,,3.650793650793638
2006-01-01,2006,1,Alberta,66.7,,2.14395099540583
2006-02-01,2006,2,Alberta,67.8,,1.6491754122938351
2006-03-01,2006,3,Alberta,70.8,,4.424778761061954
2006-04-01,2006,4,Alberta,74.0,,4.519774011299438
2006-05-01,2006,5,Alberta,77.9,,5.270270270270272
2006-06-01,2006,6,Alberta,82.6,,6.033376123234913
2006-07-01,2006,7,Alberta,85.7,,3.7530266343825724
2006-08-01,2006,8,Alberta,89.7,,4.667444574095692
2006-09-01,2006,9,Alberta,91.1,,1.5607580824972045
2006-10-01,2006,10,Alberta,91.6,,0.5488474204171201
2006-11-01,2006,11,Alberta,92.9,,1.4192139737991383
2006-12-01,2006,12,Alberta,92.7,,-0.21528525296017342
2007-01-01,2007,1,Alberta,93.7,,1.0787486515641875
2007-02-01,2007,2,Alberta,94.8,,1.1739594450373536
2007-03-01,2007,3,Alberta,95.1,,0.31645569620253333
2007-04-01,2007,4,Alberta,97.9,,2.9442691903259766
2007-05-01,2007,5,Alberta,99.6,,1.7364657814095796
2007-06-01,2007,6,Alberta,100.2,,0.6024096385542244
2007-07-01,2007,7,Alberta,103.4,,3.1936127744510934
2007-08-01,2007,8,Alberta,103.6,,0.19342359767891004
2007-09-01,2007,9,Alberta,104.0,,0.38610038610038533
2007-10-01,2007,10,Alberta,104.0,,0.0
2007-11-01,2007,11,Alberta,104.0,,0.0
2007-12-01,2007,12,Alberta,104.3,,0.28846153846153744
2008-01-01,2008,1,Alberta,104.2,,-0.09587727708532112
2008-02-01,2008,2,Alberta,103.6,,-0.5758157389635365
2008-03-01,2008,3,Alberta,103.3,,-0.28957528957528345
2008-04-01,2008,4,Alberta,102.6,,-0.6776379477250738
2008-05-01,2008,5,Alberta,101.2,,-1.3645224171539905
2008-06-01,2008,6,Alberta,100.8,,-0.39525691699605625
2008-07-01,2008,7,Alberta,100.6,,-0.1984126984126977
2008-08-01,2008,8,Alberta,100.1,,-0.497017892644136
2008-09-01,2008,9,Alberta,100.4,,0.29970029970030065
2008-10-01,2008,10,Alberta,99.3,,-1.0956175298804882
2008-11-01,2008,11,Alberta,98.7,,-0.6042296072507503
2008-12-01,2008,12,Alberta,97.8,,-0.911854103343468
2009-01-01,2009,1,Alberta,95.5,,-2.3517382413087873
2009-02-01,2009,2,Alberta,93.6,,-1.9895287958115238
2009-03-01,2009,3,Alberta,92.5,,-1.175213675213671
2009-04-01,2009,4,Alberta,91.7,,-0.8648648648648671
2009-05-01,2009,5,Alberta,91.3,,-0.4362050163576936
2009-06-01,2009,6,Alberta,90.9,,-0.4381161007666945
2009-07-01,2009,7,Alberta,91.3,,0.44004400440043057
2009-08-01,2009,8,Alberta,91.2,,-0.10952902519166807
2009-09-01,2009,9,Alberta,91.5,,0.3289473684210398
2009-10-01,2009,10,Alberta,91.5,,0.0
2009-11-01,2009,11,Alberta,91.7,,0.21857923497268228
2009-12-01,2009,12,Alberta,91.7,,0.0
2010-01-01,2010,1,Alberta,92.1,,0.4362050163576825
2010-02-01,2010,2,Alberta,92.3,,0.21715526601520097
2010-03-01,2010,3,Alberta,92.3,,0.0
2010-04-01,2010,4,Alberta,92.6,,0.3250270855904569
2010-05-01,2010,5,Alberta,92.7,,0.1079913606911509
2010-06-01,2010,6,Alberta,92.6,,-0.10787486515643208
2010-07-01,2010,7,Alberta,92.6,,0.0
2010-08-01,2010,8,Alberta,92.6,,0.0
2010-09-01,2010,9,Alberta,92.7,,0.1079913606911509
2010-10-01,2010,10,Alberta,92.4,,-0.3236245954692518
2010-11-01,2010,11,Alberta,92.5,,0.10822510822510178
2010-12-01,2010,12,Alberta,92.5,,0.0
2011-01-01,2011,1,Alberta,92.6,,0.108108108108107
2011-02-01,2011,2,Alberta,93.0,,0.4319654427645814
2011-03-01,2011,3,Alberta,92.8,,-0.21505376344086446
2011-04-01,2011,4,Alberta,92.7,,-0.10775862068964637
2011-05-01,2011,5,Alberta,93.0,,0.3236245954692629
2011-06-01,2011,6,Alberta,93.0,,0.0
2011-07-01,2011,7,Alberta,92.7,,-0.3225806451612856
2011-08-01,2011,8,Alberta,92.7,,0.0
2011-09-01,2011,9,Alberta,92.8,,0.10787486515642097
2011-10-01,2011,10,Alberta,93.1,,0.3232758620689724
2011-11-01,2011,11,Alberta,93.0,,-0.10741138560687036
2011-12-01,2011,12,Alberta,93.1,,0.10752688172042113
2012-01-01,2012,1,Alberta,93.2,,0.10741138560688146
2012-02-01,2012,2,Alberta,93.2,,0.0
2012-03-01,2012,3,Alberta,93.6,,0.42918454935620964
2012-04-01,2012,4,Alberta,93.7,,0.10683760683760646
2012-05-01,2012,5,Alberta,93.9,,0.2134471718249653
2012-06-01,2012,6,Alberta,94.1,,0.21299254526090383
2012-07-01,2012,7,Alberta,94.2,,0.10626992561106885
2012-08-01,2012,8,Alberta,94.2,,0.0
2012-09-01,2012,9,Alberta,94.4,,0.2123142250530785
2012-10-01,2012,10,Alberta,94.6,,0.21186440677964935
2012-11-01,2012,11,Alberta,94.6,,0.0
2012-12-01,2012,12,Alberta,94.9,,0.3171247357294016
2013-01-01,2013,1,Alberta,95.1,,0.21074815595363283
2013-02-01,2013,2,Alberta,95.6,,0.525762355415349
2013-03-01,2013,3,Alberta,95.7,,0.10460251046024993
2013-04-01,2013,4,Alberta,96.1,,0.4179728317659226
2013-05-01,2013,5,Alberta,96.4,,0.3121748178980255
2013-06-01,2013,6,Alberta,96.7,,0.3112033195020736
2013-07-01,2013,7,Alberta,96.9,,0.20682523267838704
2013-08-01,2013,8,Alberta,97.3,,0.41279669762641635
2013-09-01,2013,9,Alberta,97.4,,0.10277492291881352
2013-10-01,2013,10,Alberta,97.4,,0.0
2013-11-01,2013,11,Alberta,97.5,,0.10266940451744144
2013-12-01,2013,12,Alberta,97.6,,0.10256410256410664
2014-01-01,2014,1,Alberta,98.2,,0.6147540983606703
2014-02-01,2014,2,Alberta,98.7,,0.5091649694501044
2014-03-01,2014,3,Alberta,99.1,,0.4052684903748549
2014-04-01,2014,4,Alberta,99.3,,0.20181634712412855
2014-05-01,2014,5,Alberta,99.9,,0.6042296072507725
2014-06-01,2014,6,Alberta,100.0,,0.10010010010008674
2014-07-01,2014,7,Alberta,100.1,,0.09999999999998899
2014-08-01,2014,8,Alberta,100.5,,0.3996003996004083
2014-09-01,2014,9,Alberta,100.8,,0.29850746268655914
2014-10-01,2014,10,Alberta,100.8,,0.0
2014-11-01,2014,11,Alberta,101.0,,0.1984126984126977
2014-12-01,2014,12,Alberta,101.1,,0.0990099009900991
2015-01-01,2015,1,Alberta,101.0,,-0.09891196834816984
2015-02-01,2015,2,Alberta,101.0,,0.0
2015-03-01,2015,3,Alberta,100.8,,-0.1980198019801982
2015-04-01,2015,4,Alberta,100.6,,-0.1984126984126977
2015-05-01,2015,5,Alberta,100.6,,0.0
2015-06-01,2015,6,Alberta,100.6,,0.0
2015-07-01,2015,7,Alberta,100.5,,-0.09940357852882276
2015-08-01,2015,8,Alberta,100.5,,0.0
2015-09-01,2015,9,Alberta,100.5,,0.0
2015-10-01,2015,10,Alberta,100.7,,0.19900497512437276
2015-11-01,2015,11,Alberta,100.7,,0.0
2015-12-01,2015,12,Alberta,100.7,,0.0
2016-01-01,2016,1,Alberta,100.7,,0.0
2016-02-01,2016,2,Alberta,100.4,,-0.2979145978152853
2016-03-01,2016,3,Alberta,100.4,,0.0
2016-04-01,2016,4,Alberta,100.4,,0.0
2016-05-01,2016,5,Alberta,100.5,,0.09960159362549792
2016-06-01,2016,6,Alberta,100.0,,-0.497512437810943
2016-07-01,2016,7,Alberta,100.1,,0.09999999999998899
2016-08-01,2016,8,Alberta,100.0,,-0.09990009990009652
2016-09-01,2016,9,Alberta,99.8,,-0.20000000000000018
2016-10-01,2016,10,Alberta,99.7,,-0.10020040080159776
2016-11-01,2016,11,Alberta,99.8,,0.10030090270811698
2016-12-01,2016,12,Alberta,100.0,,0.20040080160321772
2017-01-01,2017,1,Alberta,100.0,,0.0
2017-02-01,2017,2,Alberta,100.0,,0.0
2017-03-01,2017,3,Alberta,100.0,,0.0
2017-04-01,2017,4,Alberta,99.9,,-0.09999999999998899
2017-05-01,2017,5,Alberta,99.7,,-0.2002002002002068
2017-06-01,2017,6,Alberta,99.6,,-0.10030090270812808
2017-07-01,2017,7,Alberta,100.1,,0.5020080321285203
2017-08-01,2017,8,Alberta,100.1,,0.0
2017-09-01,2017,9,Alberta,100.1,,0.0
2017-10-01,2017,10,Alberta,100.1,,0.0
2017-11-01,2017,11,Alberta,100.2,,0.09990009990010762
2017-12-01,2017,12,Alberta,100.1,,-0.09980039920161055
2018-01-01,2018,1,Alberta,100.1,,0.0
2018-02-01,2018,2,Alberta,99.8,,-0.29970029970030065
2018-03-01,2018,3,Alberta,99.6,,-0.2004008016032066
2018-04-01,2018,4,Alberta,99.6,,0.0
2018-05-01,2018,5,Alberta,99.6,,0.0
2018-06-01,2018,6,Alberta,99.8,,0.20080321285140812
2018-07-01,2018,7,Alberta,99.9,,0.10020040080160886
2018-08-01,2018,8,Alberta,99.4,,-0.5005005005005003
2018-09-01,2018,9,Alberta,99.4,,0.0
2018-10-01,2018,10,Alberta,99.3,,-0.1006036217303885
2018-11-01,2018,11,Alberta,99.3,,0.0
2018-12-01,2018,12,Alberta,99.4,,0.10070493454179541
2019-01-01,2019,1,Alberta,99.3,,-0.1006036217303885
2019-02-01,2019,2,Alberta,99.2,,-0.10070493454178431
