year,region,housing_starts_saar,housing_starts_growth_pct
2011,British Columbia,26313.083333333332,-1.1900738515458809
2012,British Columbia,27484.666666666668,4.452474529464112
2013,British Columbia,27073.333333333332,-1.4965920391976195
2014,British Columbia,28267.916666666668,4.412398424033492
2015,British Columbia,31490.0,11.398375661453652
2016,British Columbia,42090.75,33.66386154334708
2017,British Columbia,43544.0,3.4526588383433365
2018,British Columbia,40939.666666666664,-5.980923510319069
2019,British Columbia,45051.333333333336,10.043234352990993
2020,British Columbia,37980.833333333336,-15.694319073057406
2021,British Columbia,47631.333333333336,25.408868508238804
2022,British Columbia,46707.583333333336,-1.9393746413425283
2023,British Columbia,50635.25,8.409055631580165
2024,British Columbia,45795.666666666664,-9.557735635418673
2025,British Columbia,44120.666666666664,-3.657551296702022
2026,British Columbia,43148.333333333336,-2.203804717365998
1990,Canada,192767.66666666666,
1991,Canada,154923.08333333334,-19.632225667167546
1992,Canada,171168.08333333334,10.48584862273052
1993,Canada,157122.25,-8.20587171381737
1994,Canada,152121.91666666666,-3.1824476376409727
1995,Canada,112783.5,-25.859795569671906
1996,Canada,123608.41666666667,9.597961285708179
1997,Canada,147422.75,19.26594804426074
1998,Canada,137673.66666666666,-6.613011447238193
1999,Canada,149805.83333333334,8.812263783197483
2000,Canada,151970.16666666666,1.4447590492136841
2001,Canada,162997.66666666666,7.256358429998877
2002,Canada,205404.08333333334,26.016578969433123
2003,Canada,218978.33333333334,6.608558982720636
2004,Canada,234122.41666666666,6.915790755554196
2005,Canada,225167.08333333334,-3.8250644516810706
2006,Canada,228452.16666666666,1.4589536288792893
2007,Canada,228377.75,-0.032574287980047245
2008,Canada,211130.08333333334,-7.552253521486508
2009,Canada,147968.0,-29.916193057913354
2010,Canada,191564.08333333334,29.46318348111303
2011,Canada,193387.25,0.9517267720245082
2012,Canada,215411.0,11.388418833196079
2013,Canada,188031.41666666666,-12.710392381695158
2014,Canada,189107.66666666666,0.5723777542494091
2015,Canada,193597.5,2.374220682045336
2016,Canada,198168.25,2.360955074316551
2017,Canada,219975.58333333334,11.004453707056182
2018,Canada,213571.16666666666,-2.9114216085345923
2019,Canada,208496.66666666666,-2.376022980630188
2020,Canada,218026.16666666666,4.570576667892379
2021,Canada,273754.0833333333,25.56019652075401
2022,Canada,262708.9166666667,-4.034703896349779
2023,Canada,242000.75,-7.8825518864827355
2024,Canada,244803.16666666666,1.158019827073531
2025,Canada,258396.41666666666,5.552726374046091
2026,Canada,248122.5,-3.976029079350618
1990,Manitoba,3915.25,
1991,Manitoba,2211.4166666666665,-43.51786816508098
1992,Manitoba,2489.8333333333335,12.589968722915179
1993,Manitoba,2579.5833333333335,3.6046589463819556
1994,Manitoba,2992.9166666666665,16.023259570344027
1995,Manitoba,2000.1666666666667,-33.16998468606431
1996,Manitoba,2303.0,15.140404966252818
1997,Manitoba,2594.9166666666665,12.675495730206965
1998,Manitoba,2791.75,7.585343138829126
1999,Manitoba,3126.4166666666665,11.987701859645972
2000,Manitoba,2535.5833333333335,-18.898099528213862
2001,Manitoba,2935.5,15.772176027869978
2002,Manitoba,3637.0833333333335,23.89996025662864
2003,Manitoba,4206.75,15.662733417344477
2004,Manitoba,4452.916666666667,5.851706582674687
2005,Manitoba,4776.0,7.255544119023094
2006,Manitoba,5044.833333333333,5.628838637632594
2007,Manitoba,5745.5,13.88879711916482
2008,Manitoba,5470.25,-4.790705769732839
2009,Manitoba,4081.0833333333335,-25.394939292841578
2010,Manitoba,5808.0,42.31515324770791
2011,Manitoba,6024.833333333333,3.733356290174461
2012,Manitoba,7305.583333333333,21.257849456416487
2013,Manitoba,7485.583333333333,2.4638689586731655
2014,Manitoba,6178.333333333333,-17.463568860142274
2015,Manitoba,5551.083333333333,-10.152414351227412
2016,Manitoba,5326.333333333333,-4.048759251197209
2017,Manitoba,7605.416666666667,42.78897302709807
2018,Manitoba,7332.416666666667,-3.589546923793352
2019,Manitoba,6949.0,-5.229062723749567
2020,Manitoba,7332.5,5.518779680529562
2021,Manitoba,8022.333333333333,9.407887259915903
2022,Manitoba,8075.833333333333,0.6668882702455692
2023,Manitoba,7116.666666666667,-11.876999277680312
2024,Manitoba,7204.083333333333,1.2283372365339496
2025,Manitoba,7880.75,9.392821200939295
2026,Manitoba,9273.5,17.67281032896615
1990,New Brunswick,3291.3333333333335,
1991,New Brunswick,2975.25,-9.603504152319232
1992,New Brunswick,3131.9166666666665,5.2656639498081415
1993,New Brunswick,3630.5833333333335,15.92209243540963
1994,New Brunswick,3101.75,-14.566070649803752
1995,New Brunswick,2166.1666666666665,-30.163079981730746
1996,New Brunswick,2675.9166666666665,23.53235362006616
1997,New Brunswick,2643.0833333333335,-1.2269938650306678
1998,New Brunswick,2298.1666666666665,-13.04978402749315
1999,New Brunswick,2718.0,18.268184784973542
2000,New Brunswick,3101.8333333333335,14.121903360313958
2001,New Brunswick,3700.5,19.300413733813325
2002,New Brunswick,3826.1666666666665,3.3959374859253266
2003,New Brunswick,4616.333333333333,20.651653090560607
2004,New Brunswick,3781.4166666666665,-18.08614340385587
2005,New Brunswick,3945.5833333333335,4.341406439385609
2006,New Brunswick,4165.75,5.580078991277171
2007,New Brunswick,4206.5,0.978215207345623
2008,New Brunswick,4439.833333333333,5.546970957644914
2009,New Brunswick,3511.0,-20.920454972033475
2010,New Brunswick,4368.5,24.423241241811454
2011,New Brunswick,3266.8333333333335,-25.218419747434282
2012,New Brunswick,3256.8333333333335,-0.3061068312841142
2013,New Brunswick,2842.1666666666665,-12.73220408372141
2014,New Brunswick,2319.9166666666665,-18.375065970796932
2015,New Brunswick,1946.4166666666667,-16.09971622543912
2016,New Brunswick,1853.6666666666667,-4.765166759429718
2017,New Brunswick,2234.8333333333335,20.56284840855962
2018,New Brunswick,2324.5,4.012230591393839
2019,New Brunswick,2869.6666666666665,23.453072345307223
2020,New Brunswick,3589.0,25.066790568010223
2021,New Brunswick,3860.6666666666665,7.56942509519829
2022,New Brunswick,4632.583333333333,19.994387843204976
2023,New Brunswick,4739.083333333333,2.298933280567006
2024,New Brunswick,6215.5,31.154055812481317
2025,New Brunswick,7636.25,22.858177137800652
2026,New Brunswick,6433.333333333333,-15.752714574125616
1990,Newfoundland and Labrador,3892.4166666666665,
1991,Newfoundland and Labrador,2653.0833333333335,-31.839688282772048
1992,Newfoundland and Labrador,2267.25,-14.542827527719327
1993,Newfoundland and Labrador,2487.6666666666665,9.721762781637079
1994,Newfoundland and Labrador,2074.75,-16.598552860779847
1995,Newfoundland and Labrador,1663.0833333333333,-19.84174800176729
1996,Newfoundland and Labrador,2125.6666666666665,27.81480182392142
1997,Newfoundland and Labrador,1801.3333333333333,-15.25795828759604
1998,Newfoundland and Labrador,1393.75,-22.626757957068833
1999,Newfoundland and Labrador,1504.8333333333333,7.9701046337817605
2000,Newfoundland and Labrador,1707.75,13.484328275556546
2001,Newfoundland and Labrador,1615.5833333333333,-5.396964817254679
2002,Newfoundland and Labrador,2421.5,49.88394284830042
2003,Newfoundland and Labrador,2472.6666666666665,2.113015348613123
2004,Newfoundland and Labrador,2906.8333333333335,17.558641143165275
2005,Newfoundland and Labrador,2533.75,-12.834699845192365
2006,Newfoundland and Labrador,2263.6666666666665,-10.659431014635757
2007,Newfoundland and Labrador,2629.25,16.150051538801357
2008,Newfoundland and Labrador,3156.0833333333335,20.037399765459107
2009,Newfoundland and Labrador,3066.5833333333335,-2.835793309217649
2010,Newfoundland and Labrador,4028.0833333333335,31.35411288350227
2011,Newfoundland and Labrador,3572.3333333333335,-11.314314086517573
2012,Newfoundland and Labrador,4036.1666666666665,12.984044042175968
2013,Newfoundland and Labrador,2925.8333333333335,-27.509600693727542
2014,Newfoundland and Labrador,2251.6666666666665,-23.0418684135574
2015,Newfoundland and Labrador,1844.25,-18.0940044411547
2016,Newfoundland and Labrador,1526.8333333333333,-17.211151778048894
2017,Newfoundland and Labrador,1383.0833333333333,-9.414911035913109
2018,Newfoundland and Labrador,1521.1666666666667,9.983731999758994
2019,Newfoundland and Labrador,893.1666666666666,-41.28410211460503
2020,Newfoundland and Labrador,760.1666666666666,-14.890837842881133
2021,Newfoundland and Labrador,1124.6666666666667,47.95001096250824
2022,Newfoundland and Labrador,1538.8333333333333,36.82572614107882
2023,Newfoundland and Labrador,959.0833333333334,-37.67464529405393
2024,Newfoundland and Labrador,1654.75,72.53453818750542
2025,Newfoundland and Labrador,1569.1666666666667,-5.1719796545298795
2026,Newfoundland and Labrador,1737.8333333333333,10.748805098247471
1990,Nova Scotia,5740.75,
1991,Nova Scotia,5171.0,-9.924661411836432
1992,Nova Scotia,4605.5,-10.93598917037324
1993,Nova Scotia,4218.75,-8.397568125067856
1994,Nova Scotia,4596.833333333333,8.961975308641978
1995,Nova Scotia,4236.333333333333,-7.8423552445524125
1996,Nova Scotia,4042.8333333333335,-4.567629239121873
1997,Nova Scotia,4283.333333333333,5.9487982850311205
1998,Nova Scotia,3026.8333333333335,-29.334630350194544
1999,Nova Scotia,4324.166666666667,42.86107593194208
2000,Nova Scotia,4458.5,3.1065715937560245
2001,Nova Scotia,4080.75,-8.472580464281709
2002,Nova Scotia,5018.333333333333,22.97576017480447
2003,Nova Scotia,5072.833333333333,1.0860179342411236
2004,Nova Scotia,4629.583333333333,-8.737720537503701
2005,Nova Scotia,4745.333333333333,2.5002250022500228
2006,Nova Scotia,4937.416666666667,4.04783647091882
2007,Nova Scotia,4696.583333333333,-4.877719455180685
2008,Nova Scotia,4021.25,-14.379247325183197
2009,Nova Scotia,3367.25,-16.263599626981662
2010,Nova Scotia,4417.25,31.182715866062804
2011,Nova Scotia,4663.333333333333,5.570962325730555
2012,Nova Scotia,4560.333333333333,-2.2087205146533284
2013,Nova Scotia,3899.25,-14.496381843432493
2014,Nova Scotia,3057.5833333333335,-21.58534760958304
2015,Nova Scotia,3859.0833333333335,26.213512850562815
2016,Nova Scotia,3705.6666666666665,-3.9754691312703816
2017,Nova Scotia,4018.9166666666665,8.453269767023475
2018,Nova Scotia,4884.416666666667,21.535654301532347
2019,Nova Scotia,4655.166666666667,-4.693498029447396
2020,Nova Scotia,4909.666666666667,5.467043786473802
2021,Nova Scotia,5968.583333333333,21.56799511168441
2022,Nova Scotia,5641.0,-5.488460410761897
2023,Nova Scotia,7145.666666666667,26.673757607989135
2024,Nova Scotia,7417.666666666667,3.806502775574949
2025,Nova Scotia,9753.583333333334,31.49125960544645
2026,Nova Scotia,7097.5,-27.23187204702545
1990,Ontario,66455.66666666667,
1991,Ontario,51050.0,-23.181870620513934
1992,Ontario,56227.583333333336,10.14218086842964
1993,Ontario,45709.5,-18.70626960966667
